model,cohort,roc_auc_mean,roc_auc_std,pr_auc_mean,accuracy_mean,f1_mean,sensitivity_mean,specificity_mean,brier_mean,ece_mean
Centralized LR,CGGA_external_val,0.856910569105691,0.04946820253270303,0.9621415374607569,0.852,0.9076894921457983,0.8878048780487806,0.6888888888888889,0.10901025381048284,0.12808184682019702
Centralized LR,TCGA_test,0.9997164461247637,0.0004226971602078836,0.9999296196922577,0.9930434782608696,0.995616405452471,0.9913043478260869,1.0,0.02099500250302766,0.09373795054253513
Centralized LR,UPenn_external_test,0.766013071895425,0.010049351713519623,0.9686195001700909,0.7824561403508772,0.8713688620249231,0.8235294117647058,0.4333333333333333,0.16542841010543036,0.1805138287206416
Centralized MLP,CGGA_external_val,0.8157181571815718,0.057520285302957004,0.944689279411714,0.8480000000000001,0.9090568601361986,0.921951219512195,0.5111111111111111,0.1151303489596388,0.10034613397292573
Centralized MLP,TCGA_test,0.999054820415879,0.0008841345431885783,0.9997631632516383,0.9739130434782609,0.9834734493334258,0.9717391304347827,0.9826086956521738,0.022999633054734812,0.07361909274947118
Centralized MLP,UPenn_external_test,0.6700980392156863,0.052087418140471374,0.9484080151088501,0.7947368421052632,0.8806914293045953,0.8470588235294118,0.35,0.17290183308161516,0.17806204994269592
Centralized RF,CGGA_external_val,0.8476964769647697,0.04769185737668171,0.958832591975612,0.86,0.9145742759397377,0.9121951219512194,0.6222222222222221,0.11395673796935539,0.13149001965386328
Centralized RF,TCGA_test,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.026857235642231893,0.13484321977421623
Centralized RF,UPenn_external_test,0.7490196078431373,0.02059082876081488,0.9640261043419465,0.7964912280701755,0.8817791732077446,0.8490196078431372,0.35,0.14667355363964346,0.18635948585106624
Centralized XGBoost,CGGA_external_val,0.8634146341463416,0.034096836829380125,0.9640523560009688,0.8480000000000001,0.908362369337979,0.9170731707317075,0.5333333333333333,0.10996248727413227,0.10044813511148099
Centralized XGBoost,TCGA_test,1.0,0.0,1.0,0.9965217391304348,0.9978142076502732,0.9956521739130434,1.0,0.015884271665935385,0.0893962097313741
Centralized XGBoost,UPenn_external_test,0.7209150326797386,0.0327592985789535,0.9540187523709784,0.8087719298245615,0.8899446309321517,0.8647058823529411,0.3333333333333333,0.14406260481730063,0.14206931530906444
Client DP (sigma=0.05),CGGA_external_val,0.8357723577235774,0.043301111181320656,0.9499427183355497,0.868,0.9202631769759501,0.9268292682926829,0.6,0.11019096470897582,0.12215686519859244
Client DP (sigma=0.05),TCGA_test,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0006006223535490586,0.011453685924063022
Client DP (sigma=0.05),UPenn_external_test,0.7387254901960785,0.01628257930503671,0.9634774141019674,0.7912280701754386,0.8783380206904463,0.8431372549019608,0.35,0.1678573755879568,0.1772455563678717
Client DP (sigma=0.10),CGGA_external_val,0.8336043360433605,0.0451689249864513,0.9484623800740477,0.852,0.9077865802989828,0.8926829268292682,0.6666666666666666,0.12068434962726778,0.14061787958209743
