model,seed,cohort,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
Centralized LR,42,TCGA_test,1.0,1.0,0.991304347826087,0.994535519125683,0.9891304347826086,1.0,0.02068729280415819,0.09537777501081318
Centralized LR,42,UPenn_external_test,0.7671568627450982,0.9690086456681926,0.7719298245614035,0.865979381443299,0.8235294117647058,0.3333333333333333,0.1667623224007258,0.18159771810897615
Centralized LR,42,CGGA_external_val,0.8211382113821138,0.9471215029038029,0.82,0.8860759493670886,0.8536585365853658,0.6666666666666666,0.1115979277547998,0.12933727217066138
Centralized RF,42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.02539718675756983,0.13400014363980722
Centralized RF,42,UPenn_external_test,0.7565359477124184,0.9646834262779611,0.8245614035087719,0.9,0.8823529411764706,0.3333333333333333,0.14462818552385875,0.1861230978128692
Centralized RF,42,CGGA_external_val,0.8211382113821138,0.9451975751443162,0.86,0.9135802469135802,0.9024390243902439,0.6666666666666666,0.10793704110020745,0.11607656796470717
Centralized XGBoost,42,TCGA_test,1.0,1.0,0.991304347826087,0.994535519125683,0.9891304347826086,1.0,0.013392092715872772,0.08125559737824878
Centralized XGBoost,42,UPenn_external_test,0.7508169934640524,0.9600290150395682,0.8157894736842105,0.8955223880597015,0.8823529411764706,0.25,0.1420754210974115,0.1405510574644595
Centralized XGBoost,42,CGGA_external_val,0.8563685636856369,0.9580236249991656,0.88,0.926829268292683,0.926829268292683,0.6666666666666666,0.1013680748484048,0.12060214083641772
Centralized MLP,42,TCGA_test,1.0,1.0,0.991304347826087,0.994535519125683,0.9891304347826086,1.0,0.01695211338472504,0.06786980454283532
Centralized MLP,42,UPenn_external_test,0.7459150326797387,0.9665681009909558,0.7982456140350878,0.8844221105527639,0.8627450980392157,0.25,0.1666699787101885,0.1561927916001648
Centralized MLP,42,CGGA_external_val,0.8292682926829269,0.9435169204013152,0.88,0.926829268292683,0.926829268292683,0.6666666666666666,0.09383999686695145,0.08567135220766288
FedAvg MLP,42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.00033796759752549257,0.009777072278101012
FedAvg MLP,42,UPenn_external_test,0.7238562091503268,0.9617156031892302,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.17324121845737683,0.17084339991020162
FedAvg MLP,42,CGGA_external_val,0.8536585365853658,0.9579068077212411,0.86,0.9135802469135802,0.9024390243902439,0.6666666666666666,0.1124443507448372,0.11570702342694825
FedProx MLP (mu=0.01),42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0042455972822153295,0.035888450216238224
FedProx MLP (mu=0.01),42,UPenn_external_test,0.7189542483660131,0.9605182031952475,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.16655559464571992,0.16423866607544912
FedProx MLP (mu=0.01),42,CGGA_external_val,0.8699186991869919,0.963005931929312,0.88,0.926829268292683,0.926829268292683,0.6666666666666666,0.08564052161914937,0.08877233274526983
Patient DP (sigma=0.05),42,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.000654336481374021,0.012015990164356257
Patient DP (sigma=0.05),42,UPenn_external_test,0.7369281045751634,0.96361409765319,0.8070175438596491,0.8877551020408163,0.8529411764705882,0.4166666666666667,0.16166964307610981,0.15879878229056926
Patient DP (sigma=0.05),42,CGGA_external_val,0.8102981029810299,0.9342705833053595,0.9,0.9397590361445783,0.9512195121951219,0.6666666666666666,0.09496264760416356,0.11600257656514554
