model,eval_set,n_seeds,roc_auc_mean,roc_auc_std,roc_auc_str,pr_auc_mean,pr_auc_std,pr_auc_str,accuracy_mean,accuracy_std,accuracy_str,f1_mean,f1_std,f1_str,sensitivity_mean,sensitivity_std,sensitivity_str,specificity_mean,specificity_std,specificity_str,brier_score_mean,brier_score_std,brier_score_str,ece_mean,ece_std,ece_str
Centralized Logistic Regression,TCGA_Locked_Test,5,0.65625,0.0,0.6562 +/- 0.0000,0.8891426373334268,0.0,0.8891 +/- 0.0000,0.8,0.0,0.8000 +/- 0.0000,0.888888888888889,1.2412670766236366e-16,0.8889 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.1538142802931804,0.0,0.1538 +/- 0.0000,0.05122213839161999,0.0,0.0512 +/- 0.0000
Centralized Logistic Regression,UPenn_External_Test,5,0.4730392156862745,6.206335383118183e-17,0.4730 +/- 0.0000,0.8975361001289108,1.2412670766236366e-16,0.8975 +/- 0.0000,0.8859649122807017,0.0,0.8860 +/- 0.0000,0.9395348837209301,1.2412670766236366e-16,0.9395 +/- 0.0000,0.9901960784313726,0.0,0.9902 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.10290013174072321,0.0,0.1029 +/- 0.0000,0.0636833899184079,0.0,0.0637 +/- 0.0000
Centralized MLP,TCGA_Locked_Test,5,0.59375,0.05846339666834283,0.5938 +/- 0.0585,0.8692508399430807,0.02788239829040682,0.8693 +/- 0.0279,0.7699999999999999,0.044721359549995836,0.7700 +/- 0.0447,0.8655462184873949,0.025900899172138565,0.8655 +/- 0.0259,0.925,0.02795084971874737,0.9250 +/- 0.0280,0.15,0.13693063937629155,0.1500 +/- 0.1369,0.19608413597893024,0.029838650626467546,0.1961 +/- 0.0298,0.214076680084972,0.032384189468575894,0.2141 +/- 0.0324
Centralized MLP,UPenn_External_Test,5,0.37483660130718954,0.048764997813468804,0.3748 +/- 0.0488,0.862642868121168,0.015915416399698307,0.8626 +/- 0.0159,0.8263157894736842,0.04179343596340911,0.8263 +/- 0.0418,0.9044442441944938,0.024850792120248807,0.9044 +/- 0.0249,0.9235294117647058,0.04671031078263371,0.9235 +/- 0.0467,0.0,0.0,0.0000 +/- 0.0000,0.1469389601743952,0.028546823159858032,0.1469 +/- 0.0285,0.16167478758968332,0.03863933176089581,0.1617 +/- 0.0386
Centralized Random Forest,TCGA_Locked_Test,5,0.696875,0.06111752254877483,0.6969 +/- 0.0611,0.9167218067987225,0.014294089221200821,0.9167 +/- 0.0143,0.8,0.0,0.8000 +/- 0.0000,0.888888888888889,1.2412670766236366e-16,0.8889 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.1572650363930373,0.003664130572764553,0.1573 +/- 0.0037,0.08218311783118079,0.008436715183480936,0.0822 +/- 0.0084
Centralized Random Forest,UPenn_External_Test,5,0.36078431372549025,0.01396796023136179,0.3608 +/- 0.0140,0.8733756644201268,0.006911710150384905,0.8734 +/- 0.0069,0.8947368421052632,0.0,0.8947 +/- 0.0000,0.9444444444444444,0.0,0.9444 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.10172401645147777,0.001454217659272784,0.1017 +/- 0.0015,0.04638350261373339,0.008529260283033137,0.0464 +/- 0.0085
Centralized XGBoost,TCGA_Locked_Test,5,0.75,0.0,0.7500 +/- 0.0000,0.9342834442389396,0.0,0.9343 +/- 0.0000,0.8,0.0,0.8000 +/- 0.0000,0.888888888888889,1.2412670766236366e-16,0.8889 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.15059773441286772,0.0,0.1506 +/- 0.0000,0.06452357769012454,0.0,0.0645 +/- 0.0000
Centralized XGBoost,UPenn_External_Test,5,0.40441176470588236,0.0,0.4044 +/- 0.0000,0.8845781802957895,1.2412670766236366e-16,0.8846 +/- 0.0000,0.8859649122807017,0.0,0.8860 +/- 0.0000,0.9395348837209301,1.2412670766236366e-16,0.9395 +/- 0.0000,0.9901960784313726,0.0,0.9902 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.1092461568543597,0.0,0.1092 +/- 0.0000,0.13011889734811952,0.0,0.1301 +/- 0.0000
Client DP (sigma=0.05),TCGA_Locked_Test,5,0.6,0.06111752254877483,0.6000 +/- 0.0611,0.8766746705199685,0.023676768858235917,0.8767 +/- 0.0237,0.8,0.0,0.8000 +/- 0.0000,0.888888888888889,1.2412670766236366e-16,0.8889 +/- 0.0000,1.0,0.0,1.0000 +/- 0.0000,0.0,0.0,0.0000 +/- 0.0000,0.1791733370621128,0.013247586695364097,0.1792 +/- 0.0132,0.1692554382979773,0.043403585988244925,0.1693 +/- 0.0434
Client DP (sigma=0.05),UPenn_External_Test,5,0.45326797385620915,0.03369243801420845,0.4533 +/- 0.0337,0.8969437245414053,0.007895027341207944,0.8969 +/- 0.0079,0.8771929824561402,0.01240538212607976,0.8772 +/- 0.0124,0.934428534053524,0.006969504875005424,0.9344 +/- 0.0070,0.9784313725490197,0.012782749814122845,0.9784 +/- 0.0128,0.016666666666666666,0.037267799624996496,0.0167 +/- 0.0373,0.1161391451594304,0.007880465045515326,0.1161 +/- 0.0079,0.11399899494170063,0.02826822141192787,0.1140 +/- 0.0283
