seed,model,eval_set,N,class_0,class_1,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
42,Centralized Logistic Regression,TCGA_Locked_Test,20,4,16,0.65625,0.8891426373334268,0.8,0.8888888888888888,1.0,0.0,0.1538142802931804,0.05122213839161999
42,Centralized Logistic Regression,UPenn_External_Test,114,12,102,0.47303921568627455,0.8975361001289109,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.10290013174072321,0.0636833899184079
42,Centralized Random Forest,TCGA_Locked_Test,20,4,16,0.78125,0.9343791716324611,0.8,0.8888888888888888,1.0,0.0,0.15633252081635712,0.06837571071598272
42,Centralized Random Forest,UPenn_External_Test,114,12,102,0.37254901960784315,0.8725982290095835,0.8947368421052632,0.9444444444444444,1.0,0.0,0.09986459934328679,0.04196763978954996
42,Centralized XGBoost,TCGA_Locked_Test,20,4,16,0.75,0.9342834442389396,0.8,0.8888888888888888,1.0,0.0,0.15059773441286772,0.06452357769012454
42,Centralized XGBoost,UPenn_External_Test,114,12,102,0.40441176470588236,0.8845781802957894,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.1092461568543597,0.13011889734811952
42,Centralized MLP,TCGA_Locked_Test,20,4,16,0.59375,0.8544153089020542,0.8,0.8823529411764706,0.9375,0.25,0.17791167922349105,0.2054340115531986
42,Centralized MLP,UPenn_External_Test,114,12,102,0.4411764705882353,0.8847348976688254,0.8508771929824561,0.919431279620853,0.9509803921568627,0.0,0.12678252871747184,0.13514703720975624
42,FedAvg MLP,TCGA_Locked_Test,20,4,16,0.5625,0.8470664078031531,0.85,0.9142857142857143,1.0,0.25,0.1547467171291681,0.16526178948240652
42,FedAvg MLP,UPenn_External_Test,114,12,102,0.4133986928104575,0.9011335879611586,0.868421052631579,0.9295774647887324,0.9705882352941176,0.0,0.12870119148555498,0.13189939771542591
42,FedProx MLP (mu=0.01),TCGA_Locked_Test,20,4,16,0.6875,0.8768538242802948,0.9,0.9411764705882353,1.0,0.5,0.11851533292092427,0.1478021951000513
42,FedProx MLP (mu=0.01),UPenn_External_Test,114,12,102,0.4534313725490196,0.8941224764444984,0.868421052631579,0.9295774647887324,0.9705882352941176,0.0,0.12176043270372248,0.12104518924555743
42,Patient DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.515625,0.8255146153511091,0.75,0.8571428571428571,0.9375,0.0,0.2477495537655831,0.24205883707610829
42,Patient DP (sigma=0.05),UPenn_External_Test,114,12,102,0.5106209150326797,0.9246099312201477,0.7982456140350878,0.8878048780487805,0.8921568627450981,0.0,0.18596023946537296,0.19207778696363356
42,Patient DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.484375,0.8278702713372799,0.8,0.8888888888888888,1.0,0.0,0.1968448854024421,0.1912576947525284
42,Patient DP (sigma=0.10),UPenn_External_Test,114,12,102,0.44607843137254904,0.8948706499465869,0.868421052631579,0.9289099526066351,0.9607843137254902,0.08333333333333333,0.12054165042635855,0.12069945094515934
42,Patient DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.6875,0.8930396094918154,0.8,0.8888888888888888,1.0,0.0,0.18873864160027562,0.19097405454453076
42,Patient DP (sigma=0.20),UPenn_External_Test,114,12,102,0.4632352941176471,0.9089600342537656,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.11006667246936425,0.10375499699786167
42,Client DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.546875,0.8588391288686374,0.8,0.8888888888888888,1.0,0.0,0.17588726235744007,0.1546196275038442
42,Client DP (sigma=0.05),UPenn_External_Test,114,12,102,0.4468954248366013,0.8916969958273117,0.8596491228070176,0.9245283018867925,0.9607843137254902,0.0,0.1235600649124293,0.136744753905152
42,Client DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.484375,0.8242832231730257,0.8,0.8888888888888888,1.0,0.0,0.16993857499287315,0.10216241036086557
42,Client DP (sigma=0.10),UPenn_External_Test,114,12,102,0.5972222222222223,0.9279753613862682,0.8947368421052632,0.9444444444444444,1.0,0.0,0.11138145399484795,0.12002613601521685
42,Client DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.734375,0.928828299968006,0.8,0.8888888888888888,1.0,0.0,0.1895044529165429,0.18122360135246107
42,Client DP (sigma=0.20),UPenn_External_Test,114,12,102,0.6454248366013073,0.9375328835164092,0.8947368421052632,0.9444444444444444,1.0,0.0,0.10271106112332389,0.10060204789025468
123,Centralized Logistic Regression,TCGA_Locked_Test,20,4,16,0.65625,0.8891426373334268,0.8,0.8888888888888888,1.0,0.0,0.1538142802931804,0.05122213839161999
123,Centralized Logistic Regression,UPenn_External_Test,114,12,102,0.47303921568627455,0.8975361001289109,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.10290013174072321,0.0636833899184079
123,Centralized Random Forest,TCGA_Locked_Test,20,4,16,0.6875,0.9148116833609288,0.8,0.8888888888888888,1.0,0.0,0.15853049741296438,0.08452956146505954
123,Centralized Random Forest,UPenn_External_Test,114,12,102,0.3545751633986928,0.8678708990007896,0.8947368421052632,0.9444444444444444,1.0,0.0,0.10307872050242525,0.05289050562808438
123,Centralized XGBoost,TCGA_Locked_Test,20,4,16,0.75,0.9342834442389396,0.8,0.8888888888888888,1.0,0.0,0.15059773441286772,0.06452357769012454
123,Centralized XGBoost,UPenn_External_Test,114,12,102,0.40441176470588236,0.8845781802957894,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.1092461568543597,0.13011889734811952
123,Centralized MLP,TCGA_Locked_Test,20,4,16,0.59375,0.8929699286244371,0.7,0.8235294117647058,0.875,0.0,0.24073958733896825,0.2674539109672982
123,Centralized MLP,UPenn_External_Test,114,12,102,0.3047385620915033,0.8416813880382734,0.7807017543859649,0.8768472906403941,0.8725490196078431,0.0,0.18453332780290052,0.2151226613006197
123,FedAvg MLP,TCGA_Locked_Test,20,4,16,0.359375,0.7888010072680158,0.7,0.8235294117647058,0.875,0.0,0.23311122532090325,0.26050040432152466
123,FedAvg MLP,UPenn_External_Test,114,12,102,0.45751633986928103,0.8825432258555727,0.8333333333333334,0.9090909090909091,0.9313725490196079,0.0,0.14726379980002094,0.16506228035385462
123,FedProx MLP (mu=0.01),TCGA_Locked_Test,20,4,16,0.4375,0.7679063226397785,0.8,0.8823529411764706,0.9375,0.25,0.1822693567267397,0.21304308605854627
123,FedProx MLP (mu=0.01),UPenn_External_Test,114,12,102,0.48611111111111105,0.9132588491374982,0.8333333333333334,0.9082125603864735,0.9215686274509803,0.08333333333333333,0.14844605432428057,0.1544295298035424
123,Patient DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.53125,0.7907000311242764,0.8,0.8888888888888888,1.0,0.0,0.19545726774869202,0.19590075779723148
123,Patient DP (sigma=0.05),UPenn_External_Test,114,12,102,0.5294117647058824,0.8991554827330525,0.8421052631578947,0.9142857142857143,0.9411764705882353,0.0,0.14748782980147343,0.15319762774700135
123,Patient DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.390625,0.7648972812962751,0.8,0.8888888888888888,1.0,0.0,0.198645970667149,0.19549591619092332
123,Patient DP (sigma=0.10),UPenn_External_Test,114,12,102,0.3766339869281046,0.8853465101301061,0.8771929824561403,0.9345794392523364,0.9803921568627451,0.0,0.1150458646266872,0.1183159219264859
123,Patient DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.625,0.8926978049148134,0.8,0.8888888888888888,1.0,0.0,0.19605393259081777,0.1943659288043274
123,Patient DP (sigma=0.20),UPenn_External_Test,114,12,102,0.43218954248366015,0.8978367007040254,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.10676714224186318,0.09973943944841282
123,Client DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.640625,0.8665634202398909,0.8,0.8888888888888888,1.0,0.0,0.16575443413750093,0.12058855399658108
123,Client DP (sigma=0.05),UPenn_External_Test,114,12,102,0.5081699346405228,0.9105258265170179,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.10608147268852518,0.07127867514945957
123,Client DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.453125,0.8315722729712668,0.8,0.8888888888888888,1.0,0.0,0.1724461317661344,0.1096772565380097
123,Client DP (sigma=0.10),UPenn_External_Test,114,12,102,0.4362745098039215,0.8897865674887955,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.11042257785994003,0.09108622614666045
123,Client DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.578125,0.8760461086578539,0.55,0.6896551724137931,0.625,0.25,0.3175409539457464,0.35185060618277236
123,Client DP (sigma=0.20),UPenn_External_Test,114,12,102,0.6094771241830066,0.9341709810198766,0.7631578947368421,0.8601036269430051,0.8137254901960784,0.3333333333333333,0.21044053056171833,0.24361978159541883
2024,Centralized Logistic Regression,TCGA_Locked_Test,20,4,16,0.65625,0.8891426373334268,0.8,0.8888888888888888,1.0,0.0,0.1538142802931804,0.05122213839161999
2024,Centralized Logistic Regression,UPenn_External_Test,114,12,102,0.47303921568627455,0.8975361001289109,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.10290013174072321,0.0636833899184079
2024,Centralized Random Forest,TCGA_Locked_Test,20,4,16,0.703125,0.9163003754286649,0.8,0.8888888888888888,1.0,0.0,0.15611106455549056,0.0807186721022948
2024,Centralized Random Forest,UPenn_External_Test,114,12,102,0.3733660130718954,0.8844728524800094,0.8947368421052632,0.9444444444444444,1.0,0.0,0.10049809301537838,0.03515979307938266
2024,Centralized XGBoost,TCGA_Locked_Test,20,4,16,0.75,0.9342834442389396,0.8,0.8888888888888888,1.0,0.0,0.15059773441286772,0.06452357769012454
2024,Centralized XGBoost,UPenn_External_Test,114,12,102,0.40441176470588236,0.8845781802957894,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.1092461568543597,0.13011889734811952
2024,Centralized MLP,TCGA_Locked_Test,20,4,16,0.5,0.8300616563411649,0.75,0.8571428571428571,0.9375,0.0,0.21301192974718205,0.2137948509030965
2024,Centralized MLP,UPenn_External_Test,114,12,102,0.3660130718954248,0.8599432437315773,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.11217583670412291,0.11467193038615699
2024,FedAvg MLP,TCGA_Locked_Test,20,4,16,0.515625,0.8171031636492162,0.8,0.8888888888888888,1.0,0.0,0.19842445960825514,0.19302382557098985
2024,FedAvg MLP,UPenn_External_Test,114,12,102,0.4542483660130719,0.8841310163958402,0.868421052631579,0.9295774647887324,0.9705882352941176,0.0,0.12743584315772064,0.1344223961443362
2024,FedProx MLP (mu=0.01),TCGA_Locked_Test,20,4,16,0.53125,0.83669196408167,0.8,0.8888888888888888,1.0,0.0,0.18703052077798463,0.16422631483863143
2024,FedProx MLP (mu=0.01),UPenn_External_Test,114,12,102,0.2973856209150326,0.8504292178051498,0.8245614035087719,0.9038461538461539,0.9215686274509803,0.0,0.15645628334518158,0.16992941298380776
2024,Patient DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.546875,0.8672392904760358,0.8,0.8888888888888888,1.0,0.0,0.18174140428489055,0.18852034507058332
2024,Patient DP (sigma=0.05),UPenn_External_Test,114,12,102,0.5049019607843137,0.9042980268668483,0.8771929824561403,0.9345794392523364,0.9803921568627451,0.0,0.12749064349464787,0.13468856145887828
2024,Patient DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.546875,0.8626760803158829,0.75,0.8571428571428571,0.9375,0.0,0.24642767367792576,0.24326494433143636
2024,Patient DP (sigma=0.10),UPenn_External_Test,114,12,102,0.45343137254901966,0.8828640612194802,0.8596491228070176,0.9245283018867925,0.9607843137254902,0.0,0.13172522944330287,0.13107363963582908
2024,Patient DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.703125,0.9219661927769514,0.8,0.8888888888888888,1.0,0.0,0.19288321221780858,0.18417956937130164
2024,Patient DP (sigma=0.20),UPenn_External_Test,114,12,102,0.44526143790849676,0.8750295306884568,0.8947368421052632,0.9444444444444444,1.0,0.0,0.10252822865240203,0.0839045227984408
2024,Client DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.6875,0.9148891552311638,0.8,0.8888888888888888,1.0,0.0,0.17039210256030182,0.15077991762007212
2024,Client DP (sigma=0.05),UPenn_External_Test,114,12,102,0.42075163398692805,0.8919844312284932,0.8859649122807017,0.9389671361502347,0.9803921568627451,0.08333333333333333,0.11483023737817485,0.13372127821984542
2024,Client DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.75,0.9274017138906845,0.8,0.8888888888888888,1.0,0.0,0.16179634110524557,0.12832026666528631
2024,Client DP (sigma=0.10),UPenn_External_Test,114,12,102,0.3741830065359477,0.8777001971539247,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.14883664562345328,0.2050994515349413
2024,Client DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.75,0.9228190212565213,0.65,0.7407407407407407,0.625,0.75,0.2260130137642556,0.322076331247693
2024,Client DP (sigma=0.20),UPenn_External_Test,114,12,102,0.4027777777777778,0.8727854051275103,0.35964912280701755,0.496551724137931,0.35294117647058826,0.4166666666666667,0.46675382274787297,0.5264053647513507
3407,Centralized Logistic Regression,TCGA_Locked_Test,20,4,16,0.65625,0.8891426373334268,0.8,0.8888888888888888,1.0,0.0,0.1538142802931804,0.05122213839161999
3407,Centralized Logistic Regression,UPenn_External_Test,114,12,102,0.47303921568627455,0.8975361001289109,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.10290013174072321,0.0636833899184079
3407,Centralized Random Forest,TCGA_Locked_Test,20,4,16,0.609375,0.8951982558527644,0.8,0.8888888888888888,1.0,0.0,0.1626536888686449,0.08984679297264889
3407,Centralized Random Forest,UPenn_External_Test,114,12,102,0.33986928104575165,0.8674016271825623,0.8947368421052632,0.9444444444444444,1.0,0.0,0.1028773462839002,0.045405482817837316
3407,Centralized XGBoost,TCGA_Locked_Test,20,4,16,0.75,0.9342834442389396,0.8,0.8888888888888888,1.0,0.0,0.15059773441286772,0.06452357769012454
3407,Centralized XGBoost,UPenn_External_Test,114,12,102,0.40441176470588236,0.8845781802957894,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.1092461568543597,0.13011889734811952
3407,Centralized MLP,TCGA_Locked_Test,20,4,16,0.625,0.871519228320699,0.8,0.8823529411764706,0.9375,0.25,0.17234966704032562,0.20374603212879225
3407,Centralized MLP,UPenn_External_Test,114,12,102,0.3766339869281045,0.8572128448590313,0.8070175438596491,0.8932038834951457,0.9019607843137255,0.0,0.16198553505566854,0.17113805155842626
3407,FedAvg MLP,TCGA_Locked_Test,20,4,16,0.40625,0.7586472812962751,0.75,0.8571428571428571,0.9375,0.0,0.2470092274783739,0.2414046554821605
3407,FedAvg MLP,UPenn_External_Test,114,12,102,0.29983660130718953,0.8412415745672213,0.8421052631578947,0.9142857142857143,0.9411764705882353,0.0,0.14438936814807668,0.15151508408246306
3407,FedProx MLP (mu=0.01),TCGA_Locked_Test,20,4,16,0.4375,0.8309564110962138,0.8,0.8888888888888888,1.0,0.0,0.19657029200465587,0.18466840188750888
3407,FedProx MLP (mu=0.01),UPenn_External_Test,114,12,102,0.32924836601307195,0.844790641675655,0.8421052631578947,0.9142857142857143,0.9411764705882353,0.0,0.13508023648969486,0.1357811465703664
3407,Patient DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.765625,0.9254506002038896,0.8,0.8888888888888888,1.0,0.0,0.1937022398926207,0.19578295568443482
3407,Patient DP (sigma=0.05),UPenn_External_Test,114,12,102,0.4844771241830066,0.8882083954820525,0.8596491228070176,0.9238095238095239,0.9509803921568627,0.08333333333333333,0.13389031241806296,0.1412058419617247
3407,Patient DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.5,0.793490209695705,0.8,0.8888888888888888,1.0,0.0,0.19461963821790754,0.19485629610872457
3407,Patient DP (sigma=0.10),UPenn_External_Test,114,12,102,0.48774509803921573,0.9005188229750094,0.868421052631579,0.9295774647887324,0.9705882352941176,0.0,0.13152823332155977,0.13263139326580375
3407,Patient DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.8125,0.9555444748749703,0.8,0.8888888888888888,1.0,0.0,0.1704869594120356,0.1774322628477336
3407,Patient DP (sigma=0.20),UPenn_External_Test,114,12,102,0.5808823529411765,0.921268419549236,0.9035087719298246,0.9488372093023256,1.0,0.08333333333333333,0.09804003336512729,0.09158555179729397
3407,Client DP (sigma=0.05),TCGA_Locked_Test,20,4,16,0.5625,0.8591119463289548,0.8,0.8888888888888888,1.0,0.0,0.1845257264314088,0.1849688697341419
3407,Client DP (sigma=0.05),UPenn_External_Test,114,12,102,0.43300653594771243,0.8933807682322666,0.8859649122807017,0.9395348837209302,0.9901960784313726,0.0,0.1116822501483666,0.09887761238541534
3407,Client DP (sigma=0.10),TCGA_Locked_Test,20,4,16,0.765625,0.9428298457540911,0.8,0.8888888888888888,1.0,0.0,0.16581127365380194,0.13405544331187058
3407,Client DP (sigma=0.10),UPenn_External_Test,114,12,102,0.47630718954248363,0.881197895438807,0.8947368421052632,0.9444444444444444,1.0,0.0,0.09916595948774899,0.05580472642031667
3407,Client DP (sigma=0.20),TCGA_Locked_Test,20,4,16,0.703125,0.9181971000275954,0.8,0.8888888888888888,1.0,0.0,0.17667118173642885,0.16940369492759277
3407,Client DP (sigma=0.20),UPenn_External_Test,114,12,102,0.5718954248366013,0.9301897196339182,0.8947368421052632,0.9444444444444444,1.0,0.0,0.09867002985747214,0.0954900904685998
9999,Centralized Logistic Regression,TCGA_Locked_Test,20,4,16,0.65625,0.8891426373334268,0.8,0.8888888888888888,1.0,0.0,0.1538142802931804,0.05122213839161999
